BalanceID,ClientID,ProductID,Month,Balance
0,10000001,5001,2023-01-31,47331.2158
1,10000001,5019,2023-01-31,569494
2,10000002,5001,2023-01-31,16480.9983
3,10000002,5008,2023-01-31,989251.0125
4,10000002,5022,2023-01-31,4791947.25
5,10000003,5002,2023-01-31,17318.3777
6,10000003,5015,2023-01-31,1742396.584
7,10000003,5018,2023-01-31,905876
8,10000003,5011,2023-01-31,1420824.35
9,10000003,5013,2023-01-31,1354018.736
10,10000004,5004,2023-01-31,7667.8944
11,10000004,5009,2023-01-31,756818.9776
12,10000004,5017,2023-01-31,470330
13,10000004,5009,2023-01-31,544747.632
14,10000004,5012,2023-01-31,4820125.332
15,10000005,5001,2023-01-31,44071.8868
16,10000005,5013,2023-01-31,2156299.323
17,10000005,5021,2023-01-31,9394096.84
18,10000005,5008,2023-01-31,156570.7185
19,10000005,5016,2023-01-31,454556
20,10000006,5005,2023-01-31,13689.445
21,10000006,5019,2023-01-31,243752
22,10000006,5007,2023-01-31,336973.8834
23,10000006,5018,2023-01-31,1528014
24,10000007,5005,2023-01-31,3796.3871
25,10000007,5019,2023-01-31,298463
26,10000008,5003,2023-01-31,1534.6485
27,10000008,5006,2023-01-31,97435.8864
28,10000008,5009,2023-01-31,777935.277
29,10000009,5003,2023-01-31,11543.0158
30,10000009,5013,2023-01-31,1049844.189
31,10000009,5006,2023-01-31,306272.2406
32,10000010,5005,2023-01-31,16570.394
33,10000011,5003,2023-01-31,17462.0464
34,10000011,5020,2023-01-31,834094
35,10000011,5015,2023-01-31,1164818.068
36,10000012,5002,2023-01-31,74261.6462
37,10000013,5004,2023-01-31,47178.648
38,10000014,5004,2023-01-31,31337.0184
39,10000015,5005,2023-01-31,5430.656
40,10000015,5021,2023-01-31,1548793.215
41,10000015,5014,2023-01-31,396047.4462
42,10000016,5004,2023-01-31,10434.3042
43,10000017,5005,2023-01-31,19718.629
44,10000017,5010,2023-01-31,4849173.641
45,10000017,5011,2023-01-31,919871.0963
46,10000018,5002,2023-01-31,36007.564
47,10000018,5018,2023-01-31,1354644
48,10000019,5004,2023-01-31,5112.492
49,10000020,5003,2023-01-31,14829.9469
50,10000020,5012,2023-01-31,1091369.504
51,10000020,5019,2023-01-31,657523
52,10000020,5021,2023-01-31,4390132.686
53,10000021,5003,2023-01-31,22737.2256
54,10000022,5001,2023-01-31,31815.4592
55,10000023,5002,2023-01-31,5004.8028
56,10000023,5008,2023-01-31,982969.63
57,10000024,5003,2023-01-31,19330.0829
58,10000024,5013,2023-01-31,4248900.92
