Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer_ID,Country
564306,23240,SET OF 4 KNICK KNACK TINS DOILY ,12,24/08/2011 12:23,4.15,17865.0,United Kingdom
558240,22315,200 RED + WHITE BENDY STRAWS,1,27/06/2011 15:27,1.25,,United Kingdom
564378,21500,PINK POLKADOT WRAP ,25,25/08/2011 10:26,0.42,12417.0,Belgium
547830,20770,ABSTRACT CIRCLE JOURNAL ,1,25/03/2011 15:50,2.46,,United Kingdom
544096,22961,JAM MAKING SET PRINTED,12,16/02/2011 09:45,1.45,14386.0,United Kingdom
537240,22497,SET OF 2 TINS VINTAGE BATHROOM ,1,06/12/2010 10:08,8.47,,United Kingdom
550632,23177,TREASURE ISLAND BOOK BOX,1,19/04/2011 14:56,2.25,16907.0,United Kingdom
580730,23316,RED REFECTORY CLOCK ,1,05/12/2011 17:28,19.96,,United Kingdom
581146,23090,VINTAGE GLASS T-LIGHT HOLDER,24,07/12/2011 13:53,0.83,17602.0,United Kingdom
550204,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,15/04/2011 10:37,4.13,,United Kingdom
548893,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,2,04/04/2011 15:54,0.83,,United Kingdom
555201,22776,SWEETHEART CAKESTAND 3 TIER,1,01/06/2011 12:10,9.95,16969.0,United Kingdom
541592,21948,SET OF 6 CAKE CHOPSTICKS,3,19/01/2011 15:08,1.25,,United Kingdom
559817,23306,SET OF 36 DOILIES PANTRY DESIGN,1,12/07/2011 16:20,2.92,,United Kingdom
548194,22699,ROSES REGENCY TEACUP AND SAUCER ,1,29/03/2011 15:30,5.79,,United Kingdom
545713,21232,STRAWBERRY CERAMIC TRINKET BOX,30,07/03/2011 10:12,3.29,,United Kingdom
566539,21210,SET OF 72 RETROSPOT PAPER  DOILIES,2,13/09/2011 11:34,1.45,17228.0,United Kingdom
571716,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,2,18/10/2011 17:05,3.29,,United Kingdom
560772,22956,36 FOIL HEART CAKE CASES,4,20/07/2011 16:12,2.46,,United Kingdom
556202,90214V,"LETTER ""V"" BLING KEY RING",1,09/06/2011 13:08,1.25,14606.0,United Kingdom
549551,47566,PARTY BUNTING,8,10/04/2011 11:48,4.95,15955.0,United Kingdom
550287,21519,GIN & TONIC DIET GREETING CARD ,12,15/04/2011 14:15,0.42,14211.0,United Kingdom
565580,21169,YOU'RE CONFUSING ME METAL SIGN ,24,05/09/2011 12:36,1.69,13851.0,United Kingdom
575146,23351,ROLL WRAP 50'S CHRISTMAS,84,08/11/2011 15:45,1.04,17313.0,United Kingdom
577029,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,17/11/2011 12:59,0.29,15563.0,United Kingdom
556926,22938,CUPCAKE LACE PAPER SET 6,1,15/06/2011 14:26,1.95,16324.0,United Kingdom
561537,23339,EGG FRYING PAN BLUE ,6,28/07/2011 09:58,2.08,13870.0,United Kingdom
558614,10133,COLOURING PENCILS BROWN TUBE,37,30/06/2011 15:56,0.83,,United Kingdom
551995,22620,4 TRADITIONAL SPINNING TOPS,1,05/05/2011 15:42,2.46,,United Kingdom
571500,21154,RED RETROSPOT OVEN GLOVE ,2,17/10/2011 15:09,1.25,,United Kingdom
